store_type,store,owned/rented,own_rent,city,rating,address,total_sqft,employees,programs,programs_val,Dpmo
Departmental Store,2,owned,1,CP,3,"157, Khadilkar Road, Shop No. 8; Nawalkar Bldg, Girgaon, Mumbai, Maharashtra 400004",1200,10,IHS,2,65
Grocery,3,owned,1,Noida,4,"251, Sector 37A, Sector 37, Chandigarh, 160036",15600,11,Locker,3,12
Grocery,3,owned,1,Gurgaon,5,"251, Sector 37A, Sector 37, Chandigarh, 160036",23413,4,Locker,3,32
Lifestyle Store,5,owned,1,Ghaziabad,4,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",23452,11,IHS,2,31
Pharmacy,7,owned,1,Gurgaon,3,"Gurdev Nagar Silver Arc Mall, 3rd &5th floor, Gurdev Nagar, Ludhiana, Punjab 141001",15600,25,IHS,2,59
Movie theater,6,rented,2,Chandigarh,5,"Goa Mall MALL DE GOA NH66 PORVORIM, PILEME, Porvorim, Pilerne, Goa 403501",74318.4,10,Locker,3,45
Movie theater,6,owned,1,Gurgaon,2,"BAY SHOP NO 53, 15D, Sector 15, Chandigarh, 160015",1800,14,Helix,4,45
Departmental Store,2,rented,2,Ghaziabad,5,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",18002,14,Locker,3,8
Departmental Store,2,owned,1,CP,5,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",1299,10,Helix,4,81
Departmental Store,2,rented,2,Noida,5,"Reliance MediaWorks Ltd, Ansal Plaza, 3rd, G Block, Palam Vihar, Gurugram, Haryana 122017",2178,12,3P,1,8
Restraunt,7,owned,1,Dwarka,3,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",4940,5,3P,1,45
Grocery,3,owned,1,Karol Bagh,5,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",2155,10,Locker,3,67
Lifestyle Store,5,owned,1,Mumbai,3,"Plot No. 301, 1, Vaddy, Siolim, Goa 403517",1142,12,Locker,3,23
Grocery,3,owned,1,Noida,2,"Himalaya Marg, Kajheri Village, Sector 52, Chandigarh, 160056",7270,10,3P,1,67
Pharmacy,7,owned,1,Mumbai,2,"Plot No. 301, 1, Vaddy, Siolim, Goa 403517",1800,6,IHS,2,95
Departmental Store,2,owned,1,Chandigarh,5,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",10125,17,Locker,3,45
Lifestyle Store,5,owned,1,Dwarka,3,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",47425,4,Locker,3,81
Gym,4,owned,1,Mumbai,2,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",11000,30,3P,1,15
Departmental Store,2,owned,1,CP,5,"9A, Rohtas Pandit House, Shahnajaf Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",10638,11,Helix,4,26
Gym,4,rented,2,Ghaziabad,2,"Opposite Rithala Metro Station, Swarn Jayanti Park, Sector 10, Rohini, New Delhi, Delhi 110085",20002,14,Locker,3,80
Bank,1,owned,1,CP,1,"Saudagar Lines Rd, Sadar Bazar, Shahzadi Mandi, Idgah Colony, Agra, Uttar Pradesh 282001",2837,10,3P,1,95
Restraunt,7,owned,1,Gandhinagar,2,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",7270,3,3P,1,10
Movie theater,6,owned,1,Mumbai,5,"Velgau, Santa Inez, Panaji, Goa 403001",1200,11,Locker,3,81
Grocery,3,owned,1,Noida,2,"E/1-282, Gauravaddo, Calangute, Goa 403516",18002,12,3P,1,4
Departmental Store,2,owned,1,Noida,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",23452,11,Helix,4,19
Restraunt,7,owned,1,Gurgaon,3,"SJRA 230, KOCHI COCHIN ERNAKULAM KERALA, S Janatha Rd, Palarivattom, Kochi, Kerala 6820250",2178,20,3P,1,4
Bank,1,owned,1,CP,5,"SCO 85, Inner Market, 35C, Chandigarh, 160022",3864,6,Helix,4,12
Pharmacy,7,owned,1,Chandigarh,4,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",2750,11,Helix,4,72
Departmental Store,2,owned,1,Noida,3,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",1953,25,IHS,2,13
Restraunt,7,owned,1,Ahemdabad,2,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",20002,14,IHS,2,67
Grocery,3,owned,1,Noida,4,"SCO 10, Bridge Market, 17D, Sector 17 E, Chandigarh, 160017",18002,3,Locker,3,54
Bank,1,owned,1,Jalandar,3,"Subhash Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",2141,25,3P,1,15
Grocery,3,owned,1,Pune,3,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",2100,20,Locker,3,52
Grocery,3,owned,1,Mumbai,3,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",1200,11,3P,1,24
Restraunt,7,rented,2,Dwarka,5,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",9431,3,3P,1,3
Bank,1,owned,1,Gandhinagar,3,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",1830,3,Helix,4,90
Restraunt,7,owned,1,Mumbai,4,"Velgau, Santa Inez, Panaji, Goa 403001",1143,7,IHS,2,42
Bank,1,owned,1,Gurgaon,3,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",6100,5,3P,1,16
Departmental Store,2,owned,1,Chandigarh,5,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",2309,12,Locker,3,31
Gym,4,owned,1,Mumbai,4,"Shop No.10 Goal Bagh Opp:-Railway Station, Amritsar, Punjab 143001",1200,5,3P,1,45
Lifestyle Store,5,owned,1,Gurgaon,5,"Sasthamangalam Shree Dhanya Apex 31/747 Sasthamangalam Opp Alibaba And Dishes Sreedhanya Homes, Thiruvananthapuram, Kerala 695010",6630,10,Locker,3,78
Pharmacy,7,owned,1,Noida,5,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",2363,11,3P,1,18
Restraunt,7,rented,2,Ahemdabad,4,"Gurdev Nagar Silver Arc Mall, 3rd &5th floor, Gurdev Nagar, Ludhiana, Punjab 141001",12983,10,3P,1,12
Bank,1,owned,1,Karol Bagh,5,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",20002,10,IHS,2,81
Restraunt,7,owned,1,Dwarka,3,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",2800,3,IHS,2,32
Bank,1,owned,1,CP,4,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",13750,30,IHS,2,10
Grocery,3,owned,1,Dwarka,3,"Court, Labour Court Building, Top Floor Old Railway Road, Near District, Gurugram, Haryana 122001",3945,11,IHS,2,81
Departmental Store,2,owned,1,Gurgaon,5,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",23413,18,Locker,3,45
Bank,1,owned,1,Gurgaon,3,"Kanchanjunga Towers, Behind double tree by Hilton, Near, 122011, Sector 56, Gurugram, Haryana 122011",9230,18,IHS,2,14
Gym,4,rented,2,Gurgaon,4,address,1200,10,IHS,2,45
Departmental Store,2,rented,2,Noida,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",6630,18,Locker,3,56
Lifestyle Store,5,owned,1,Karol Bagh,3,address,1299,12,IHS,2,8
Pharmacy,7,owned,1,Ghaziabad,5,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",23413,25,IHS,2,45
Restraunt,7,owned,1,Gurgaon,3,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",2363,14,IHS,2,50
Departmental Store,2,owned,1,Mumbai,4,"4N Block, Srirampura, Bengaluru, Karnataka 560021",6636,32,Helix,4,81
Bank,1,owned,1,Gurgaon,3,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",12100,3,IHS,2,15
Bank,1,owned,1,Noida,3,"Kanchanjunga Towers, Behind double tree by Hilton, Near, 122011, Sector 56, Gurugram, Haryana 122011",8880,5,3P,1,24
Gym,4,owned,1,Mumbai,3,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",3450,14,Locker,3,3
Departmental Store,2,owned,1,Mumbai,3,"E/1-282, Gauravaddo, Calangute, Goa 403516",4940,5,IHS,2,8
Departmental Store,2,owned,1,Dwarka,3,"SN 85, Kala Niketan, The Mall Rd, Nr Minerva Hotel, Shimla, Himachal Pradesh 171001",11000,11,Locker,3,59
Departmental Store,2,owned,1,Dwarka,3,"157, Khadilkar Road, Shop No. 8; Nawalkar Bldg, Girgaon, Mumbai, Maharashtra 400004",1527,10,Locker,3,59
Departmental Store,2,owned,1,Pune,5,"Velgau, Santa Inez, Panaji, Goa 403001",23452,10,Locker,3,65
Grocery,3,rented,2,Dwarka,4,"Shop No, 225, Rani Jhansi Rd, Mall Enclave, Civil Lines, Ludhiana, Punjab 141001",47425,17,Locker,3,3
Departmental Store,2,owned,1,Ghaziabad,2,"The Westin Hotel, Number 1, MG Road, Sector 29, Gurugram, Haryana 122009",15000,6,Locker,3,42
Departmental Store,2,owned,1,CP,5,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",3450,12,Locker,3,15
Departmental Store,2,owned,1,Chandigarh,5,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",15600,25,Locker,3,81
Movie theater,6,rented,2,CP,4,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",15600,10,3P,1,67
Departmental Store,2,owned,1,Gandhinagar,3,"Velgau, Santa Inez, Panaji, Goa 403001",1295,8,3P,1,67
Departmental Store,2,owned,1,Mumbai,3,"4N Block, Srirampura, Bengaluru, Karnataka 560021",2800,11,Helix,4,70
Movie theater,6,rented,2,Pune,2,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",15000,14,Locker,3,42
Pharmacy,7,owned,1,Kanpur,2,"Sco 80, 81, 4th Floor, Bridge Market, 17C, Chandigarh, 160017",23413,12,3P,1,15
Pharmacy,7,owned,1,Gurgaon,3,"Reliance MediaWorks Ltd, Ansal Plaza, 3rd, G Block, Palam Vihar, Gurugram, Haryana 122017",7669,10,IHS,2,24
Restraunt,7,owned,1,CP,4,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",15000,6,IHS,2,8
Lifestyle Store,5,rented,2,Mumbai,3,"Court, Labour Court Building, Top Floor Old Railway Road, Near District, Gurugram, Haryana 122001",11000,20,IHS,2,45
Departmental Store,2,owned,1,Gurgaon,3,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",1200,11,3P,1,16
Gym,4,owned,1,CP,3,"Old Railway Rd, Kheri, Laxman Garden, Sector 105, Gurugram, Haryana 122001",23452,10,IHS,2,45
Gym,4,owned,1,CP,3,"97/1-a, Near Modi Hospital, Khirki, Main Press Enclave Road, Malviya Nagar, Malviya Nagar, Khirki Extension, Khidki Village, Malviya Nagar, New Delhi, Delhi 110017",35000,11,3P,1,8
Pharmacy,7,owned,1,CP,3,"5/175/18(3), Opposite Government High School, Shantinagar, Durgabhat, Ponda, Goa 403401",36125,11,Locker,3,67
Grocery,3,owned,1,Dwarka,3,"271/1, Dr Hira Singh Rd, Maya Nagar, Ludhiana, Punjab 141001",1566,11,Locker,3,45
Lifestyle Store,5,owned,1,Gurgaon,2,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",4219,12,IHS,2,71
Departmental Store,2,owned,1,Ghaziabad,3,"Booth No 7, Madhya Marg, Near SCO No 17, Sector 7C, Chandigarh, 160001",1200,3,3P,1,54
Movie theater,6,rented,2,CP,5,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",23452,8,Locker,3,45
Bank,1,owned,1,Ahemdabad,2,"6, New Market, Totu, Shimla, Himachal Pradesh 171011",11000,30,Locker,3,45
Restraunt,7,owned,1,Noida,3,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",1200,10,Locker,3,72
Bank,1,rented,2,Pune,3,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",1200,24,Helix,4,59
Departmental Store,2,rented,2,Pune,3,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",2309,3,IHS,2,95
Restraunt,7,owned,1,Dwarka,4,"251, Sector 37A, Sector 37, Chandigarh, 160036",9431,10,IHS,2,45
Movie theater,6,rented,2,Dwarka,3,"5P, Ashutosh mukherjee road, First floor, Kolkata, West Bengal 700020",20002,11,IHS,2,32
Departmental Store,2,owned,1,Karol Bagh,4,"Shop No.10 Goal Bagh Opp:-Railway Station, Amritsar, Punjab 143001",9860,10,IHS,2,45
Departmental Store,2,rented,2,Ahemdabad,5,"66 d, Beauty Avenue, Amritsar, Punjab 143104",1817,12,3P,1,50
Pharmacy,7,owned,1,Ghaziabad,3,"43, BRIGADE ROAD, CIVIL STATION, Bengaluru, Karnataka 560001",23413,10,IHS,2,23
Movie theater,6,owned,1,Mumbai,2,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",4494,6,IHS,2,59
Grocery,3,owned,1,CP,3,"12, Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021",10620,25,Locker,3,59
Restraunt,7,owned,1,CP,5,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",2155,11,Locker,3,32
Bank,1,rented,2,Ghaziabad,2,"Old Railway Rd, Kheri, Laxman Garden, Sector 105, Gurugram, Haryana 122001",18002,10,3P,1,90
Lifestyle Store,5,owned,1,Gurgaon,2,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",1899,12,Locker,3,23
Lifestyle Store,5,owned,1,Gurgaon,4,"66 d, Beauty Avenue, Amritsar, Punjab 143104",2092,10,Helix,4,95
Movie theater,6,owned,1,Mumbai,2,"Velgau, Santa Inez, Panaji, Goa 403001",11000,5,IHS,2,23
Movie theater,6,owned,1,Pune,5,"106, Canal Street, 1st Floor, Shreebhumi, Lake Town, Kolkata, West Bengal 700048",1200,17,Locker,3,32
Departmental Store,2,owned,1,CP,5,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",1800,10,IHS,2,50
Departmental Store,2,owned,1,Noida,3,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",1200,7,3P,1,8
Departmental Store,2,rented,2,Amritsar,3,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",1830,11,Locker,3,81
Bank,1,rented,2,Gurgaon,5,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",1800,11,Helix,4,8
Departmental Store,2,rented,2,Gurgaon,5,"115-117, Jhalawar, Patanwala Indl. Estate,Opp, Shreyas Cinema Road, LBS Rd, Ghatkopar West, Mumbai, Maharashtra 400086",2529,11,Locker,3,3
Restraunt,7,owned,1,Dwarka,3,"Muthoot Sky Chef, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008",10125,20,Locker,3,56
Grocery,3,owned,1,Dwarka,3,"ground Floor, plot no New Plaza Marker, Gurgaon, 15, Sector 14, Gurugram, Haryana 122001",17440,18,Locker,3,95
Pharmacy,7,owned,1,Gurgaon,3,"Old Railway Rd, Kheri, Laxman Garden, Sector 105, Gurugram, Haryana 122001",6100,14,IHS,2,80
Departmental Store,2,owned,1,CP,1,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",1800,5,3P,1,9
Bank,1,owned,1,Gurgaon,4,"SCO-7, Basement, Boparai Complex, Ranjit Ave, Amritsar, Punjab 143001",2151,10,3P,1,59
Grocery,3,rented,2,Pune,1,"66 d, Beauty Avenue, Amritsar, Punjab 143104",9860,5,Locker,3,50
Departmental Store,2,rented,2,Gandhinagar,2,"Chahrajwala, Grand Trunk Rd, Putligarh, Amritsar, Punjab 143001",2296,15,Locker,3,22
Bank,1,owned,1,Noida,3,"Movers and Packers Gurgaon, Movers and Packers In Gurgaon Packers and Movers Gurgaon, Movers and Packers Gurgaon, Jharsa Rd, Prem Puri, Sector 32, Gurugram, Haryana 122001",18002,4,3P,1,24
Pharmacy,7,owned,1,Dwarka,3,"1-G, Malhar Cinema Rd, G - Block, Sarabha Nagar, Ludhiana, Punjab 141001",1800,20,Locker,3,59
Departmental Store,2,rented,2,CP,2,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",13750,11,Helix,4,71
Gym,4,owned,1,Ahemdabad,3,"The Westin Hotel, Number 1, MG Road, Sector 29, Gurugram, Haryana 122009",18002,11,IHS,2,89
Grocery,3,owned,1,Noida,1,"SCO-59, 60 Near-Huda Market, Near Apollo Clinic, Sector 56, Gurugram, Haryana 122002",1234,10,IHS,2,95
Grocery,3,owned,1,Noida,5,"6, New Market, Totu, Shimla, Himachal Pradesh 171011",3864,11,3P,1,22
Departmental Store,2,owned,1,Ghaziabad,5,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",9860,25,IHS,2,90
Movie theater,6,owned,1,Gurgaon,4,"Savitribai Phule Pune University, Vidyapeeth Road, Ganeshkhind, Pune, Maharashtra 411007",74318.4,3,3P,1,15
Grocery,3,rented,2,CP,5,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",2214,3,3P,1,31
Grocery,3,owned,1,Gurgaon,5,"Movers and Packers Gurgaon, Movers and Packers In Gurgaon Packers and Movers Gurgaon, Movers and Packers Gurgaon, Jharsa Rd, Prem Puri, Sector 32, Gurugram, Haryana 122001",6105,5,3P,1,41
Movie theater,6,rented,2,Mumbai,5,"Gurdev Nagar Silver Arc Mall, 3rd &5th floor, Gurdev Nagar, Ludhiana, Punjab 141001",23413,3,3P,1,14
Departmental Store,2,owned,1,Ghaziabad,2,"Reliance MediaWorks Ltd, Ansal Plaza, 3rd, G Block, Palam Vihar, Gurugram, Haryana 122017",1299,12,IHS,2,14
Grocery,3,owned,1,Mumbai,1,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",10000,11,Locker,3,45
Gym,4,owned,1,Mumbai,4,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",1800,11,3P,1,54
Movie theater,6,owned,1,Dwarka,5,"Booth No 7, Madhya Marg, Near SCO No 17, Sector 7C, Chandigarh, 160001",2155,4,IHS,2,90
Restraunt,7,owned,1,Noida,5,"271/1, Dr Hira Singh Rd, Maya Nagar, Ludhiana, Punjab 141001",1200,6,IHS,2,4
Bank,1,owned,1,CP,3,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",1299,3,Locker,3,24
Bank,1,owned,1,Dwarka,3,"block no 331 shop, No 5, 15 A, A Block, Sector 15, Noida, Uttar Pradesh 201301",18002,10,3P,1,54
Departmental Store,2,owned,1,Gurgaon,3,"271/1, Dr Hira Singh Rd, Maya Nagar, Ludhiana, Punjab 141001",1200,12,3P,1,59
Gym,4,owned,1,Mumbai,2,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",7918,11,Locker,3,95
Movie theater,6,owned,1,CP,1,"Building No: 36A, Mall Road, Amritsar, Punjab 143001",2750,11,Locker,3,95
Grocery,3,rented,2,Gurgaon,4,"66, Mahatma Gandhi Marg, Hazratganj, Lucknow, Uttar Pradesh 226001",23413,10,Locker,3,16
Grocery,3,rented,2,Gurgaon,3,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",13750,40,3P,1,15
Lifestyle Store,5,owned,1,Ghaziabad,5,"DLF Mall Of India, Sector 18, Noida, Uttar Pradesh 201301",1817,11,3P,1,55
Restraunt,7,rented,2,Mumbai,1,"Plot C 38-39, Bandra Kurla Complex, Opp MCA Cricket Club, Level 10, A Wing, Crescenzo Building, G Block, Mumbai, Maharashtra 400051",47425,30,IHS,2,54
Grocery,3,owned,1,Mumbai,5,"No 92, Appu Rao Road, 6Th Main, Bull Temple Rd, Raghavendra Colony, Chamrajpet, Bengaluru, Karnataka 560019",2140,12,Helix,4,45
Lifestyle Store,5,owned,1,Gandhinagar,3,"183, Silver County Road, Kudlu, Bengaluru, Karnataka 560068",19890,8,3P,1,50
Gym,4,owned,1,Gurgaon,4,"27th Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011",1514,11,3P,1,8
Departmental Store,2,rented,2,Ghaziabad,4,"Plot No. 301, 1, Vaddy, Siolim, Goa 403517",15000,4,Locker,3,72
Departmental Store,2,owned,1,Dwarka,2,"4N Block, Srirampura, Bengaluru, Karnataka 560021",13750,12,Locker,3,4
Pharmacy,7,rented,2,Amritsar,3,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",24900,9,IHS,2,67
Bank,1,owned,1,Noida,5,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",23413,12,IHS,2,21
Pharmacy,7,rented,2,Ghaziabad,3,"12, Chandragupta Marg, Chanakyapuri, New Delhi, Delhi 110021",18002,12,IHS,2,54
Bank,1,owned,1,Gandhinagar,3,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",18002,20,3P,1,54
Movie theater,6,owned,1,Mumbai,4,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",1445,10,Locker,3,8
Gym,4,rented,2,Ahemdabad,5,"Himalaya Marg, Kajheri Village, Sector 52, Chandigarh, 160056",7270,12,Helix,4,80
Gym,4,owned,1,Mumbai,4,"Kanchanjunga Towers, Behind double tree by Hilton, Near, 122011, Sector 56, Gurugram, Haryana 122011",20002,4,Helix,4,8
Bank,1,rented,2,Gurgaon,4,"Opp Foot Bridge, E-245, Rua de Ourém, Altinho, Panaji, Goa 403001",7420,11,IHS,2,67
Grocery,3,owned,1,Noida,2,"Durga Bhawan ,Behind Aparna Building,Khalini, Shimla, Himachal Pradesh 171002",1899,3,IHS,2,59
Pharmacy,7,owned,1,Noida,3,"Subhash Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",1800,12,3P,1,16
Departmental Store,2,owned,1,Pune,5,"The Westin Hotel, Number 1, MG Road, Sector 29, Gurugram, Haryana 122009",11000,30,Locker,3,12
Movie theater,6,owned,1,Mumbai,5,"No.562, 640, Bannerghatta Main Rd, Ranka Colony, Bilekahalli, Bengaluru, Karnataka 560076",11000,12,Helix,4,3
Restraunt,7,owned,1,CP,3,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",2671,3,IHS,2,15
Gym,4,rented,2,Gurgaon,3,"Haiko mall, Main Street, Central Avenue, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",6630,10,Helix,4,67
Departmental Store,2,owned,1,Gurgaon,3,"150, 12th Cross Rd, 2nd Phase, JP Nagar, Bengaluru, Karnataka 560078",23413,11,Locker,3,81
Bank,1,rented,2,Gurgaon,4,"pillar No 82 A13 Opposite Metro, Kailash Colony, New Delhi, Delhi 110048",30875,20,IHS,2,52
Grocery,3,owned,1,Chandigarh,3,"251, Sector 37A, Sector 37, Chandigarh, 160036",2837,5,Helix,4,95
Departmental Store,2,owned,1,Dwarka,5,"Shop No 4. 17, Hill Road, Near Mehboob Studio Opposite Damian Showroom, Bandra West, Mumbai, Maharashtra 400050",11000,4,3P,1,14
Gym,4,rented,2,CP,3,"South Sinthee Road, South Sinthee, Biswanath Colony, Dum Dum, Kolkata, West Bengal 700030",18002,4,Locker,3,8
Bank,1,owned,1,Noida,5,"Himalaya Marg, Kajheri Village, Sector 52, Chandigarh, 160056",18002,11,Locker,3,81
Gym,4,owned,1,Mumbai,5,"Shop No. 5, Labh Ashish CHSL, Opp. CNM School Dadabhai Road, Off, SV Rd, Vile Parle West, Mumbai, Maharashtra 400056",2837,10,Locker,3,45
Lifestyle Store,5,owned,1,CP,3,"E/1-282, Gauravaddo, Calangute, Goa 403516",1800,11,3P,1,8
Bank,1,owned,1,Gurgaon,3,"3rd Floor The Great India Place Plot No A-2, Noida, Uttar Pradesh 201301",1299,20,Locker,3,52
Bank,1,rented,2,Noida,4,"Hambran Rd, Partap Singhwala, Ludhiana, Punjab 141008",74318.4,3,3P,1,45
Departmental Store,2,rented,2,Mumbai,3,"Near Garden Cafe, Edappally - Pukkattupady Rd, Edappally Toll, Unnichira, Koonamthai, Edappally, Ernakulam, Kerala 682024",18002,12,3P,1,54
Restraunt,7,owned,1,Mumbai,5,"Plot No. 301, 1, Vaddy, Siolim, Goa 403517",20002,6,Locker,3,59
Pharmacy,7,owned,1,CP,2,"A-194, Okhla Industrial Area, Phase-1, Pocket C, Okhla Phase I, Okhla Industrial Area, New Delhi, Delhi 110020",1200,30,Locker,3,67
Bank,1,owned,1,Gurgaon,3,"66 d, Beauty Avenue, Amritsar, Punjab 143104",9860,25,Helix,4,21
Departmental Store,2,owned,1,CP,5,"Vivek Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010",12000,5,Helix,4,6
Movie theater,6,owned,1,Dwarka,3,"Bhogilal Hargovindas, 2nd Floor, 18/20, K Dubash Marg, Behind Prince Of Wales Museum, Mumbai G.p.o(fort), VB Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",2001,11,Helix,4,8
Gym,4,owned,1,Ahemdabad,4,"Himalaya Marg, Kajheri Village, Sector 52, Chandigarh, 160056",30875,10,Locker,3,50
Departmental Store,2,owned,1,Dwarka,3,"B19, Omaxe City Centre, Sohna Rd, Sector 49, Gurugram, Haryana 122018",1686,10,IHS,2,91
Pharmacy,7,owned,1,CP,5,"Court, Labour Court Building, Top Floor Old Railway Road, Near District, Gurugram, Haryana 122001",24900,25,IHS,2,8
