store_type,availability,location,rating  ,society,total_sqft,employees ,programs,programs_val,Dpmo
General Store,Ready To Move,Kasthuri Nagar East Of NGEF,6,,33725,4,Helix,4,96
Super Market,Ready To Move,Raja Rajeshwari Nagar,2,NDionas,27900,42,Locker,3,26
Super Market,43971,Budigere,3,,32500,39,Helix,4,59
Super Market,Ready To Move,Garudachar Palya,3,GrrvaGr,29625,33,3P,1,60
Super Market,Ready To Move,Ramamurthy Nagar,3,AkoreEn,43750,42,IHS,2,9
Super Market,Ready To Move,Whitefield,2,Soitya ,43000,10,IHS,2,64
Drug Store,Ready To Move,Bannerghatta Road,4,,8100,9,IHS,2,78
General Store,Ready To Move,Bellandur,2,,9100,12,Locker,3,52
General Store,Ready To Move,Keerthi Layout,2,,29875,9,3P,1,36
Super Market,Ready To Move,Anjanapura,3,Prcesvy,29500,14,Locker,3,64
Super Market,Ready To Move,Naganathapura,2,,29625,49,Helix,4,77
Super Market,Ready To Move,Kanakapura,1,Srhts P,31150,25,Locker,3,46
Drug Store,Ready To Move,Banashankari Stage II,5,,33250,1,IHS,2,33
General Store,Ready To Move,Raja Rajeshwari Nagar,2,Mancyhi,31275,18,3P,1,92
Super Market,Ready To Move, Whitefield,1 RK,SLaceda,29000,31,IHS,2,58
Super Market,Ready To Move,Naganathapura,5,Suise S,35000,1,IHS,2,66
Super Market,Ready To Move,Marathahalli,3,Satle C,32625,5,IHS,2,65
Super Market,Ready To Move,Jalahalli,2,SSaleRo,37125,43,Locker,3,55
Super Market,Ready To Move,Jayamahal Extension,3,CharkGr,12000,12,3P,1,24
Super Market,Ready To Move,Kadubeesanahalli,2,SMaxyay,26875,11,Helix,4,32
Super Market,Ready To Move,5   Farm House in Lakshmipura,5,Tahtsla,25000,41,IHS,2,98
Super Market,Ready To Move,Whitefield,1,Brglede,8280,49,Helix,4,96
Super Market,Ready To Move,Budigere,3,Adeatlm,10395,37,Helix,4,4
Super Market,18-Apr,Iblur Village,3,,29500,6,IHS,2,76
General Store,Ready To Move,Hoskote,,Prood G,26250,10,Locker,3,98
Super Market,Ready To Move,Sahakara Nagar,3,,46700,41,IHS,2,64
Super Market,Ready To Move,Sanjay nagar,3,Wiass G,7200,47,Locker,3,56
Super Market,Ready To Move,4th Block Jayanagar,7,Reion M,38553.5,17,IHS,2,99
Super Market,Ready To Move,Banashankari Stage III,2,,28750,48,Helix,4,97
Super Market,44184,Vignana Nagar,2,She 2rk,85450,24,Helix,4,66
Super Market,Ready To Move,Sarjapur  Road,4,,31750,43,IHS,2,87
General Store,Ready To Move,Kundalahalli Colony,3,,29500,12,Helix,4,85
Super Market,Ready To Move,Sarjapur  Road,2,,33650,6,Locker,3,56
Super Market,Ready To Move,Uttarahalli,3,,27550,7,IHS,2,86
Super Market,Ready To Move,Yeshwanthpur,5,Proodt ,115200,44,3P,1,27
Super Market,44061,Kogilu,3,,42500,20,IHS,2,60
Drug Store,Ready To Move,Hebbal,4,,21750,9,IHS,2,89
Super Market,44183,Coconut Garden,3,Exitym ,46325,16,Locker,3,99
Super Market,Ready To Move,Whitefield,1,Bregae ,22000,18,IHS,2,71
Super Market,43969,Hulimavu,3,ViistLa,23525,0,Locker,3,56
Super Market,Ready To Move,Harlur,3,CaIRSCr,12000,12,IHS,2,49
General Store,Ready To Move,"Pai layout , Mahadevapura",6,,42475,13,IHS,2,88
Super Market,Ready To Move,Gubbalala,3,ISeekon,18054,31,IHS,2,25
General Store,Ready To Move,Kasavanhalli,2,,21600,1,IHS,2,26
General Store,Ready To Move,Haralur Road,3,,4950,3,IHS,2,17
Super Market,Ready To Move,Electronic City,3,Shdhia ,27350,44,IHS,2,6
Super Market,Ready To Move,Begur Road,3,,6000,8,IHS,2,68
Super Market,Ready To Move,Bommasandra,3,,43450,21,Locker,3,37
Drug Store,Ready To Move,Ramamurthy Nagar,3,,22400,6,3P,1,63
Drug Store,Ready To Move,Vittasandra,2,,17575,4,IHS,2,5
General Store,Ready To Move,Hebbal,3,,29475,15,Locker,3,25
Super Market,Ready To Move,Yeshwanthpur,4,Prone M,25700,33,Helix,4,3
Super Market,44185,Electronic City,1,Myple M,31500,2,IHS,2,52
Super Market,Ready To Move,Malleshwaram,2,Saavean,24000,12,Locker,3,58
Super Market,Ready To Move,Hoodi,3,,16000,34,3P,1,79
Super Market,Ready To Move,Gottigere,5,Unm 2El,34875,46,IHS,2,3
Drug Store,Ready To Move,Kambipura,2,,17700,9,Locker,3,23
Super Market,Ready To Move,Kasturi Nagar,3,Veale R,42625,48,Locker,3,41
Drug Store,Ready To Move,Millers Road,3,,14580,7,IHS,2,79
General Store,Ready To Move,Vittasandra,2,,87500,5,Locker,3,67
Super Market,Ready To Move,Chikkalasandra,3,Prncyrn,24250,15,3P,1,9
Drug Store,Ready To Move,Sarjapur  Road,3,,37275,6,Locker,3,31
General Store,Ready To Move,Vinayak Nagar,1,S onsMa,40400,7,IHS,2,83
Drug Store,Ready To Move,Sir M V Nagar,7,,17500,7,Locker,3,58
Super Market,43939,Harlur,2,BrontLa,32400,10,Locker,3,78
Super Market,Ready To Move,Harlur,3,,47250,13,IHS,2,46
Drug Store,Ready To Move,Whitefield,2,,17500,7,Locker,3,5
Super Market,43939,Sompura,4,,31500,1,IHS,2,48
Super Market,Ready To Move,Bannerghatta Road,3,MaionPa,36750,27,IHS,2,16
General Store,Ready To Move,Yeshwanthpur,3,,45250,1,Locker,3,35
Drug Store,Ready To Move,Nagarbhavi,3,Prldsum,30750,9,Locker,3,23
General Store,Ready To Move,Iblur Village,4,Maenara,35100,10,Locker,3,30
Super Market,Ready To Move,Ramagondanahalli,2,ManceEl,208025,10,Helix,4,19
General Store,Ready To Move,Sarjapur  Road,3,Paarklu,24250,1,IHS,2,78
Super Market,Ready To Move,8th Phase JP Nagar,2,Sagnage,38325,39,Locker,3,75
Drug Store,Ready To Move,Sri Balaji Krupa Layout,1,,10000,6,Helix,4,5
Super Market,18-Aug,Kengeri Satellite Town,2,SunceEs,40400,40,IHS,2,80
Drug Store,Ready To Move,Thubarahalli,3,,26850,4,IHS,2,40
Super Market,Ready To Move,Hosur Road,3,Siissi ,30925,32,IHS,2,25
Drug Store,Ready To Move,RMV 2nd Stage,3,,47125,5,3P,1,25
Drug Store,Ready To Move,Raja Rajeshwari Nagar,2,,10980,1,Helix,4,91
General Store,Ready To Move,Dodda Nekkundi,3,Inave R,34000,1,IHS,2,84
Drug Store,44183,Gandhi Bazar,3,,12000,6,Locker,3,90
General Store,Ready To Move,Kadugodi,3,,80125,18,Locker,3,83
Super Market,Ready To Move,Bommanahalli,4,KHage G,33750,7,IHS,2,3
Super Market,Ready To Move,Harlur,2,,36375,26,Helix,4,15
Super Market,Ready To Move,Whitefield,1,Iseenst,39375,19,IHS,2,10
General Store,Ready To Move,Sarjapur  Road,3,KHage G,12000,9,Locker,3,63
General Store,18-Dec,Hormavu,2,,29850,18,IHS,2,44
Drug Store,Ready To Move,Devanahalli,3,AdlasRe,43875,2,IHS,2,48
Drug Store,43969,Electronic City,2,MGave E,20250,5,Locker,3,54
General Store,Ready To Move,Varanasi,2,Srntssh,28750,17,Helix,4,69
Super Market,Ready To Move,Uttarahalli,6,Skacak ,53425,29,Locker,3,50
Super Market,44000,Kengeri,1,,25000,1,Locker,3,92
Super Market,43908,Kasturi Nagar,2,,9900,6,Locker,3,94
General Store,Ready To Move,Koramangala,2,,13005,9,Helix,4,71
General Store,Ready To Move,Moodalapalya,1,BrardCo,9900,0,Locker,3,20
Super Market,Ready To Move,Neelamangala,2,,26750,49,Locker,3,72
Super Market,Ready To Move,Byadarahalli,4,,9180,9,Locker,3,94
Drug Store,Ready To Move,HRBR Layout,3,Toindls,29000,8,3P,1,14
Drug Store,Ready To Move,8th Phase JP Nagar,1,,25875,3,IHS,2,5
General Store,44061,BTM Layout 2nd Stage 1st Phase,4,Sryalan,35000,12,IHS,2,94
Super Market,Ready To Move,Hebbal,3,NCensun,32050,40,3P,1,93
Super Market,Ready To Move,Subramanyapura,2,GSideS ,30000,28,Locker,3,83
Super Market,44186,Electronic City,2,Bhe 2ko,32875,34,Locker,3,80
General Store,Ready To Move,Marathahalli,2,,35750,12,Locker,3,96
General Store,Ready To Move,Gollahalli,2,Wharl P,12000,16,Locker,3,50
Super Market,44184,Kaggalipura,2,GoityEt,16850,6,Locker,3,66
Super Market,44061,Arekere,2,SSdhimr,15300,1,Locker,3,56
General Store,Ready To Move,Raja Rajeshwari Nagar,6,CaaveEn,24500,8,Helix,4,18
Super Market,44002,Yelahanka,3,Brstaue,8060,15,Locker,3,39
Super Market,18-Nov,Electronic City,2,,6000,40,Locker,3,24
General Store,43908,Behind Don Bosco Church,4,,8748,18,IHS,2,98
Super Market,Ready To Move,Panathur,2,,18288,10,IHS,2,64
Super Market,Ready To Move,Whitefield,6,Soiewre,10035,0,Locker,3,9
Super Market,43969,Whitefield,2,,12000,36,Locker,3,80
Super Market,Ready To Move,Mudalpalaya,6,JaghtDe,26400,27,Locker,3,30
Super Market,18-Sep,Bommasandra Industrial Area,2,MCnexva,36475,47,Locker,3,89
Super Market,Ready To Move,Horamavu Banaswadi,2,,32700,4,Locker,3,2
Super Market,44092,AGB Layout,7,SunceEs,140000,2,IHS,2,63
Drug Store,Ready To Move,Haralur Road,2,,6300,9,IHS,2,51
Super Market,43999,Badavala Nagar,3,Collsrn,14850,10,IHS,2,25
Super Market,Ready To Move,Cooke Town,3,,9720,22,IHS,2,5
General Store,Ready To Move,Bannerghatta Road,3,,18060,1,Locker,3,81
General Store,Ready To Move,Sonnenahalli,2,,22625,12,IHS,2,3
Super Market,Ready To Move,Sarjapura - Attibele Road,3,Shaceop,32000,8,IHS,2,23
Super Market,Ready To Move,Whitefield,2,,33000,18,Locker,3,91
Super Market,Ready To Move,Kanakpura Road,3,DSureSi,27500,21,IHS,2,16
Super Market,44184,Channasandra,3,Masser ,31000,23,IHS,2,79
Super Market,43939,HSR Layout,4,Prarkun,32350,14,IHS,2,99
Super Market,Ready To Move,Huskur,3,PuandHi,13500,8,Locker,3,78
Super Market,44182,Kengeri,5,Dieldli,9000,6,IHS,2,65
General Store,Ready To Move,Hoodi,3,,46575,7,IHS,2,11
Drug Store,43969,Vijaya Bank Layout,3,,41250,6,IHS,2,73
Drug Store,Ready To Move,Gollarapalya Hosahalli,3,,19000,7,Locker,3,20
Drug Store,Ready To Move,Hebbal,3,Fencyes,26675,0,IHS,2,78
Super Market,Ready To Move,Doddanakundi Industrial Area 2,3,Vencyha,10980,12,Helix,4,62
General Store,Ready To Move,Bhoganhalli,4,,46875,18,IHS,2,31
General Store,Ready To Move,Akshaya Nagar,3,,25600,12,IHS,2,29
Drug Store,Ready To Move,Kothanur,3,Prrry M,7200,2,Locker,3,90
General Store,Ready To Move,Hoodi,5,,256250,19,IHS,2,39
Drug Store,Ready To Move,Immadihalli,2,,12500,2,IHS,2,15
General Store,Ready To Move,Raghuvanahalli,2,Niara S,25625,18,IHS,2,72
Super Market,Ready To Move,Sarjapur,2,,38750,31,IHS,2,96
Super Market,44061,Lingadheeranahalli,3,BMineis,11700,18,Helix,4,59
General Store,Ready To Move,Kanakpura Road,2,Bregae ,33650,5,IHS,2,52
Super Market,Ready To Move,CV Raman Nagar,2,,29000,23,IHS,2,70
Super Market,Ready To Move,Cooke Town,3,,22075,29,IHS,2,73
Super Market,43908,Thanisandra,2,DSdidSp,48450,46,IHS,2,13
Super Market,Ready To Move,ISRO Layout,2,GMown E,24500,2,IHS,2,16
Super Market,Ready To Move,BTM 2nd Stage,2,,10000,23,Locker,3,65
Drug Store,Ready To Move,7th Phase JP Nagar,7,,31375,4,Locker,3,48
Drug Store,Ready To Move,Chennappa Layout,3,,41075,2,IHS,2,31
General Store,Ready To Move,Bellari Road,2,,30000,12,IHS,2,21
Super Market,Ready To Move,Dodda Nekkundi,2,,28525,33,Locker,3,18
Super Market,Ready To Move,Kada Agrahara,3,,32500,42,Locker,3,19
Super Market,Ready To Move,Electronic City,2,DSvar S,12600,2,3P,1,64
Super Market,Ready To Move,Tilak Nagar,1,,24850,1,Locker,3,51
Super Market,Ready To Move,Banashankari,2,AlEcone,28025,46,Locker,3,61
General Store,Ready To Move,Kogilu,2,Ratlet ,33675,13,IHS,2,12
General Store,Ready To Move,Yelahanka,2,Pride S,51250,11,Locker,3,19
Super Market,44185,Rayasandra,2,VaarkMe,26875,28,IHS,2,18
Super Market,Ready To Move,Banashankari 2nd Stage,6,GrrvaGr,38250,41,IHS,2,17
Super Market,Ready To Move,6th Phase JP Nagar,2,Maows M,52375,31,IHS,2,12
Super Market,Ready To Move,Konanakunte Cross,2,,18125,43,IHS,2,30
Super Market,43939,Lakshminarayana Pura,2,,35100,32,IHS,2,33
General Store,Ready To Move,Banashankari Stage V,3,,23625,19,IHS,2,22
Super Market,Ready To Move,KR Puram,7,Vauna F,18999,47,Helix,4,63
General Store,Ready To Move,Rayasandra,3,,12300,0,IHS,2,25
Super Market,Ready To Move,KR Puram,3,NDionas,27250,4,IHS,2,90
Drug Store,Ready To Move,Anugrah Layout,3,Somus A,19850,5,Locker,3,40
Super Market,Ready To Move,JP Nagar,2,,10485,1,Helix,4,26
Super Market,Ready To Move,Gollarapalya Hosahalli,2,Saageat,10000,2,IHS,2,68
Drug Store,Ready To Move,Sarjapur  Road,2,,28875,5,Helix,4,33
Super Market,44061,Whitefield,2,Sodgere,28875,22,Locker,3,79
Super Market,Ready To Move,Suryanagar,2,,6100,12,IHS,2,92
General Store,Ready To Move,Electronics City Phase 1,2,,35450,1,Locker,3,40
Super Market,44000,Haralur Road,3,,49625,7,IHS,2,1
General Store,Ready To Move,TC Palaya,3,,35525,16,3P,1,34
General Store,Ready To Move,Old Airport Road,2,,17145,14,IHS,2,98
Super Market,Ready To Move,Electronic City,3,AWharde,33650,47,Locker,3,64
Super Market,Ready To Move,Samethanahalli,2,Prncyrn,6000,13,IHS,2,67
Super Market,43939,Cunningham Road,3,SNnia E,31500,13,Locker,3,30
Super Market,44002,7th Phase JP Nagar,2,SoineC ,29625,20,Locker,3,29
Super Market,Ready To Move,Richards Town,4,,45000,41,Locker,3,48
Drug Store,44153,Jakkur,3,,25475,0,IHS,2,98
General Store,Ready To Move,Talaghattapura,2,,5580,11,Helix,4,11
Gas Station,Ready To Move,Hebbal Kempapura,3,KHatsFl,13860,8,Locker,3,90
Super Market,Ready To Move,Malleshwaram,7,Suent V,26000,22,Locker,3,75
Super Market,Ready To Move,Bannerghatta Road,3,Chllsev,26075,37,IHS,2,53
Super Market,Ready To Move,Omkar Nagar,4,SNity S,43500,17,IHS,2,87
Super Market,Ready To Move,Mahaganapathy Nagar,2,Jants V,28750,31,IHS,2,91
Super Market,44061,Whitefield,2,Sanzaat,9945,20,IHS,2,8
Super Market,Ready To Move,Haralur Road,2,GrrvaGr,29900,18,IHS,2,47
Super Market,Ready To Move,Electronic City,2,Sariaat,11700,27,IHS,2,12
Super Market,Ready To Move,Begur Road,4,DSvar S,9108,36,Locker,3,87
General Store,Ready To Move,Raja Rajeshwari Nagar,3,Swhtsna,44400,14,IHS,2,54
Super Market,Ready To Move,Sarjapur  Road,2,Dhalsh ,20844,49,Locker,3,19
Super Market,Ready To Move,Horamavu Agara,4,3Codeli,15750,45,IHS,2,10
Super Market,Ready To Move,Jakkur Plantation,2,Dhalsh ,29000,32,Locker,3,72
Super Market,Ready To Move,Jakkur,4,Prlla C,42000,47,IHS,2,77
Super Market,Ready To Move,Kanakapura,4,NRosete,11745,31,IHS,2,30
Super Market,Ready To Move,Hebbal,4,Suiseit,41250,17,IHS,2,61
Drug Store,Ready To Move,Kanakpura Road,3,,36900,1,IHS,2,26
Super Market,Ready To Move,Himagiri Meadows,4,,30750,10,IHS,2,9
Super Market,Ready To Move,Hormavu,2,MJinele,42500,10,3P,1,23
Gas Station,Ready To Move,2nd Stage Nagarbhavi,5,VancyRe,30465,21,IHS,2,8
Drug Store,Ready To Move,Uttarahalli,3,,31950,0,IHS,2,27
Super Market,Ready To Move,Yeshwanthpur,1,,48300,40,Locker,3,38
Super Market,Ready To Move,7th Phase JP Nagar,1,,18000,47,3P,1,33
Super Market,Ready To Move,Kothanur,3,Drerspe,25650,12,IHS,2,70
Super Market,Ready To Move,Whitefield,2,Velas V,#VALUE!,10,IHS,2,71
Super Market,44186,Kanakpura Road,2,PrarePa,40650,32,3P,1,10
General Store,Ready To Move,Whitefield,2,Srhts P,12366,12,IHS,2,82
Super Market,Ready To Move,Hebbal,3,FoityIn,83375,27,IHS,2,70
Drug Store,Ready To Move,Hebbal Kempapura,3,,42750,7,IHS,2,100
Super Market,Ready To Move,Kothnur Narayanapura,6,PrncyRe,25650,24,IHS,2,42
Drug Store,Immediate Possession,Hosa Road,6,Ajleyor,27900,9,IHS,2,46
Drug Store,Ready To Move,Rajaji Nagar,3,,14400,9,Helix,4,27
General Store,Ready To Move,Meenakshi Layout,8,DIHSe P,28375,0,Locker,3,26
Drug Store,Ready To Move,Uttarahalli,3,,40000,1,Locker,3,97
Drug Store,Ready To Move,Yelenahalli,2,,28000,7,IHS,2,45
Super Market,44031,Nallurhalli,3,Soazak ,31875,39,IHS,2,41
Super Market,43908,Shikaripalya,3,SNontle,12000,27,IHS,2,66
Super Market,Ready To Move,Dodda Nekkundi,2,,16020,28,3P,1,39
Super Market,Ready To Move,Banaswadi,5,Suelsa ,49000,5,IHS,2,3
Super Market,Ready To Move,Begur Road,2,BrdgeNo,29000,19,Locker,3,63
Super Market,Ready To Move,Vittasandra,2,Brway G,5400,41,IHS,2,52
Super Market,Ready To Move,Brookefield,2,Ihnueut,12000,38,IHS,2,5
Super Market,Ready To Move,Kengeri,2,SaireSa,97500,11,IHS,2,41
Super Market,Ready To Move,Jnana Ganga Nagar,2,Sueneu ,29125,29,IHS,2,27
Super Market,Ready To Move,1st Block Jayanagar,4,SrisePo,30000,29,Locker,3,100
General Store,Ready To Move,RMV Extension,3,SiidsGa,10000,10,IHS,2,76
General Store,Ready To Move,7th Phase JP Nagar,2,,10413,9,IHS,2,69
Super Market,43939,Hebbal Kempapura,3,Prarkun,11016,4,Helix,4,1
Super Market,Ready To Move,Sarjapur  Road,3,Sonosty,12150,16,IHS,2,30
Drug Store,Ready To Move,Uttarahalli,3,,9900,9,Locker,3,90
Drug Store,Ready To Move,Nehru Nagar,2,Stndeil,31125,2,IHS,2,11
Super Market,Ready To Move,Ramagondanahalli,2,,37800,42,IHS,2,63
Super Market,44030,Banashankari Stage VI,4,SunceEs,30000,14,Locker,3,33
Super Market,Ready To Move,Somasundara Palya,3,,26750,29,Helix,4,44
Super Market,Ready To Move,LB Shastri Nagar,2,ARureig,38750,13,Locker,3,61
Drug Store,44061,Srinivasa Nagar,2,,24000,7,IHS,2,29
Super Market,Ready To Move,Hosa Road,3,Cerasy ,6000,44,Locker,3,38
Super Market,Ready To Move,Kanakpura Road,2,,24550,37,Helix,4,60
Super Market,Ready To Move,BTM 2nd Stage,4,,16000,10,IHS,2,36
Gas Station,Ready To Move,Hongasandra,8,Mancyes,16850,11,Helix,4,85
Super Market,Ready To Move,Chandapura,2,,52000,18,Helix,4,11
Super Market,Ready To Move,7th Phase JP Nagar,2,Mayne A,64800,31,3P,1,46
Super Market,Ready To Move,Hebbal,8,ManceEl,13077,24,IHS,2,55
Super Market,43969,Murugeshpalya,2,Derdsig,30000,35,Locker,3,43
Super Market,44004,"Sarjapur Road, ",4,GoAirej,60875,42,Locker,3,14
Drug Store,Ready To Move,Sarjapur,4,,102425,4,IHS,2,62
Super Market,Ready To Move,Hennur Road,3,,44000,13,Locker,3,67
Super Market,44182,Bannerghatta Road,3,Alestrb,17253,49,Locker,3,21
General Store,Ready To Move,Palace Guttahalli,3,,12000,18,Helix,4,76
Super Market,44092,Hebbal,4,Shxorm ,28650,44,IHS,2,85
Super Market,Ready To Move,Chamrajpet,2,,31075,10,Helix,4,28
Drug Store,Ready To Move,Electronic City Phase II,2,,15750,3,IHS,2,66
Super Market,Ready To Move,Yelahanka,1,,38375,40,IHS,2,14
Drug Store,Ready To Move,Mysore Road,2,,6000,6,Helix,4,12
General Store,Ready To Move,Gandhi Nagar,5,,46550,18,IHS,2,89
Super Market,44121,Koramangala,3,,7120,9,IHS,2,62
Super Market,Ready To Move,HRBR Layout,2,,43000,39,3P,1,10
Super Market,Ready To Move,Electronic City,2,Brway G,21125,6,IHS,2,32
Super Market,Ready To Move,Whitefield,3,Aincy R,28125,5,Locker,3,51
Super Market,Ready To Move,Banashankari,3,Mauner ,22850,5,IHS,2,70
Drug Store,Ready To Move,Kodichikkanahalli,4,,60225,1,IHS,2,80
Super Market,Ready To Move,Whitefield,3,JRrnauv,35875,2,Locker,3,60
Super Market,Ready To Move,Lakshminarayana Pura,2,,22000,33,Locker,3,22
Drug Store,Ready To Move,Banashankari,3,,8000,7,Helix,4,95
Super Market,Ready To Move,Kundalahalli,3,,17064,40,IHS,2,72
General Store,44030,Electronic City Phase II,2,Sryalan,46250,12,Helix,4,5
Super Market,Ready To Move,Old Airport Road,4,MamalPr,59700,3,IHS,2,44
General Store,Ready To Move,Jakkur,2,Gaent R,40975,13,Locker,3,32
Super Market,Ready To Move,Horamavu Banaswadi,3,,45500,30,IHS,2,53
General Store,Ready To Move,Hoodi,3,,35450,1,IHS,2,81
Super Market,Ready To Move,Budigere,3,ETens G,33750,9,3P,1,89
Super Market,Ready To Move,Bannerghatta Road,3,ManceEl,25000,43,IHS,2,45
Super Market,44061,Hennur Road,3,,24000,47,Locker,3,45
Super Market,Ready To Move,Kodbisanhalli,3,,30000,26,IHS,2,69
Super Market,Ready To Move,5th Phase JP Nagar,2,MenueNo,22500,43,IHS,2,40
Super Market,18-Aug,Hongasandra,8,,61875,7,IHS,2,4
Super Market,Ready To Move,Kannamangala,3,Manha M,39250,7,Locker,3,9
Super Market,Ready To Move,Ananth Nagar,2,Arldsyo,52944,42,Locker,3,41
Super Market,Ready To Move,Whitefield,2,PuineSu,12000,11,IHS,2,66
Super Market,Ready To Move,Whitefield,2,PrityTr,30625,41,Locker,3,81
General Store,Ready To Move,Bommanahalli,8,,17010,16,IHS,2,59
Super Market,Ready To Move,Electronic City Phase II,2,SoosePr,27000,42,Locker,3,57
Super Market,44183,TC Palaya,3,Jaades ,23688.75,32,IHS,2,3
Super Market,44122,Electronic City,2,DSapeSk,9108,38,Locker,3,6
Super Market,Ready To Move,Haralur Road,4,Prityel,23750,8,3P,1,39
Drug Store,Ready To Move,T Dasarahalli,9,Roima A,10170,0,3P,1,20
Super Market,Ready To Move,Hennur Road,2,CMoryma,9450,14,IHS,2,2
Super Market,Ready To Move,Indira Nagar,3,DNtonri,30500,39,Helix,4,35
General Store,Ready To Move,Choodasandra,3,Shelash,24000,7,Locker,3,55
General Store,Ready To Move,Kammasandra,3,,27396,12,Locker,3,80
Super Market,Ready To Move,Yemlur,4,KPhtsei,12000,42,IHS,2,22
Super Market,Ready To Move,Akshaya Nagar,3,Prtanha,35875,16,IHS,2,18
Super Market,44184,Gollahalli,2,Goues A,26000,15,Helix,4,67
Super Market,Ready To Move,Green Glen Layout,2,KBityo ,26625,18,Locker,3,76
Drug Store,Ready To Move,Chandapura,1,,32000,0,IHS,2,32
Drug Store,Ready To Move,Thanisandra,2,,36875,3,Locker,3,5
Super Market,Ready To Move,Marathahalli,3,DSdIHSa,25875,29,Helix,4,62
Super Market,Ready To Move,Hennur Road,2,,15930,11,Helix,4,39
General Store,43879,Murugeshpalya,3,,9000,2,IHS,2,49
Super Market,Ready To Move,Kannamangala,2,DSillto,24625,43,Locker,3,18
General Store,Ready To Move,Thanisandra,3,,7704,0,IHS,2,63
Super Market,44184,Murugeshpalya,2,DSapeto,44675,44,Locker,3,16
Super Market,Ready To Move,Rachenahalli,3,Srconor,24000,22,Locker,3,84
Super Market,Ready To Move,Kanakpura Road,3,Raony C,26975,49,Helix,4,49
Drug Store,Ready To Move,Banjara Layout,3,StodsWa,10485,8,IHS,2,63
Super Market,18-Apr,Raja Rajeshwari Nagar,2,SNnia E,60000,46,Locker,3,81
Super Market,44030,Sidedahalli,1,Plowsri,16625,45,3P,1,11
Super Market,43939,Bhoganhalli,4,Sadhii ,5400,15,IHS,2,88
Super Market,Ready To Move,Rajaji Nagar,2,Sovar S,40975,23,IHS,2,14
Super Market,Ready To Move,Kadubeesanahalli,3,Brngsal,17919,37,Locker,3,48
Super Market,Ready To Move,Kundalahalli,3,DSldsen,25900,42,Locker,3,87
Super Market,Ready To Move,Hosur Road,3,,44000,1,3P,1,88
Super Market,Ready To Move,Uttarahalli,3,Samesan,14904,41,Locker,3,29
General Store,Ready To Move,Sarjapur,4,,13125,12,IHS,2,96
Drug Store,Ready To Move,Babusapalaya,3,,30625,6,Helix,4,64
Super Market,44183,Vijayanagar,1,Prtates,18090,27,Locker,3,81
Super Market,Ready To Move,Cambridge Layout,5,Ahriaup,36250,22,IHS,2,73
Super Market,Ready To Move,Sarjapur  Road,3,,35250,49,Locker,3,72
Super Market,Ready To Move,Subramanyapura,2,Emine P,27000,28,Helix,4,17
Super Market,Ready To Move,Tindlu,2,Sovar S,38750,3,3P,1,68
Super Market,Ready To Move,OMBR Layout,2,Hoxiaa ,14850,9,IHS,2,6
General Store,Ready To Move,Panathur,2,,12000,10,IHS,2,91
Super Market,Ready To Move,Indira Nagar,8,Veyalin,8000,23,Locker,3,16
General Store,Ready To Move,Mysore Road,3,Neess P,80750,11,Locker,3,37
General Store,Ready To Move,Pillanna Gardens,2,,27000,9,3P,1,57
Super Market,Ready To Move,Rachenahalli,2,GRe 2iv,32750,31,IHS,2,79
Super Market,44002,Daadys Gaarden Layout,3,,36500,33,Locker,3,93
General Store,Ready To Move,Basavanagara,3,,29550,18,Locker,3,76
Super Market,Ready To Move,Meenakunte,4,Pantsce,29375,23,Locker,3,31
Super Market,Ready To Move,Kasavanhalli,4,Shinei ,29000,49,Locker,3,6
Super Market,44184,Abbigere,2,LedorSa,45600,45,IHS,2,22
Super Market,21-Jun,BEML Layout,2,Saityat,35675,42,Locker,3,85
General Store,Ready To Move,Chikkathoguru,2,,9810,13,Locker,3,93
Super Market,Ready To Move,Bisuvanahalli,2,HoAcela,24300,24,IHS,2,30
Drug Store,Ready To Move,Whitefield,3,,50775,4,Locker,3,10
Super Market,Ready To Move,Kanakpura Road,3,,7785,17,Locker,3,21
General Store,Ready To Move,Dodda Nekkundi,3,,30950,11,IHS,2,42
General Store,Ready To Move,Yelahanka,3,,45350,1,IHS,2,90
Super Market,Ready To Move,Malleshwaram,3,PuamaPa,30675,11,Locker,3,78
Super Market,Ready To Move,Arekere,2,,40000,11,Helix,4,87
Super Market,43852,Subramanyapura,2,,31800,14,Locker,3,29
Super Market,Ready To Move,Rajiv Nagar,4,Priew P,26750,43,IHS,2,6
Super Market,Ready To Move,Hosakerehalli,3,Mades G,38900,8,IHS,2,53
Super Market,44152,B Narayanapura,2,Skacak ,55375,44,IHS,2,61
Super Market,Ready To Move,Gubbalala,2,MCrds S,31500,9,Locker,3,19
Super Market,44000,Kothanur,3,,28000,36,3P,1,3
Super Market,Ready To Move,Panathur,2,,100000,37,IHS,2,92
Super Market,Ready To Move,Kengeri Satellite Town,3,IBictnd,58925,30,IHS,2,67
Super Market,Ready To Move,Ananth Nagar,2,,9900,12,Locker,3,20
Drug Store,Ready To Move,Vidyaranyapura,2,,12000,7,IHS,2,98
Super Market,Ready To Move,Madiwala,3,DLhtsan,25550,25,IHS,2,81
Super Market,43909,Ejipura,2,Bhe 2ko,16200,25,IHS,2,41
Drug Store,Ready To Move,Budigere,3,,27500,2,IHS,2,15
Super Market,Ready To Move,Whitefield,4,Prityel,45500,9,IHS,2,50
Super Market,Ready To Move,HSR Layout,2,Emceske,26500,43,Locker,3,100
